Time	rbt x	rbt y	x	y	cost	discount	ig	utility
70.471	5.97594	3.67309	5	9.5	0.246194	0.0492107	0.981132	1.61951
72.103	5.95594	4.08669	5	9.5	0.203889	0.126329	0.981132	1.51048
73.401	5.94182	4.42121	5	9.5	0.203889	0.126329	0.981132	1.51048
74.61	5.93122	4.84072	5	9.5	0.203889	0.126329	0.981132	1.51048
75.726	5.91948	5.27074	5	-9.6	0.47402	0.0856453	1	1.35469
77.409	5.92027	5.29652	5	-9.6	0.47402	0.0856453	1	1.35469
78.773	5.99172	5.32409	5	-9.6	0.47402	0.0856453	1	1.35469
80.075	6.13672	4.98325	5	10.4	0.192412	0.439124	0.546875	0.421046
81.364	6.11589	4.86237	5	10.4	0.192412	0.439124	0.546875	0.421046
82.899	6.0387	4.84391	5	10.4	0.192412	0.439124	0.546875	0.421046
84.136	5.87584	5.19536	2.6	5	0.257143	0.745072	0.803279	0.152413
85.268	5.81674	5.508	2.6	5	0.257143	0.745072	0.803279	0.152413
86.607	5.53885	5.77732	2.6	5	0.257143	0.745072	0.803279	0.152413
87.966	5.14657	5.889	4.6	5.1	0.0494357	0.598564	0.981132	0.738288
89.482	5.10469	5.89131	4.6	5.1	0.0494357	0.598564	0.981132	0.738288
90.832	5.11338	5.8905	4.6	5.1	0.0494357	0.598564	0.981132	0.738288
92.232	5.11015	5.89083	-4.2	5.1	0.233733	0.804557	1	0.157153
93.476	4.80103	5.94543	-4.2	5.1	0.233733	0.804557	1	0.157153
95.041	4.41353	5.95893	-4.2	5.1	0.233733	0.804557	1	0.157153
96.349	3.94259	5.95377	4.9	11	0.42521	0.257881	0.461538	0.259823
97.712	3.80162	5.95105	4.9	11	0.42521	0.257881	0.461538	0.259823
98.58	3.79128	5.98441	4.9	11	0.42521	0.257881	0.461538	0.259823
