Time	rbt x	rbt y	x	y	cost	discount	ig	utility
6.492	-3.13276e-05	0.796906	0	0	0	0	0	0
7.659	0.0149089	0.797521	6.1	1.2	0.180501	0.303814	0.141892	0.0170648
9.083	0.396224	0.704986	6.1	1.2	0.180501	0.303814	0.141892	0.0170648
10.326	0.76642	0.624839	6.1	1.2	0.180501	0.303814	0.141892	0.0170648
11.79	1.03377	0.574403	-0.2	4.2	0.175613	0.871727	1	0.0809332
13.091	1.19133	0.779287	-0.2	4.2	0.175613	0.871727	1	0.0809332
14.768	1.11109	1.1485	-0.2	4.2	0.175613	0.871727	1	0.0809332
15.946	0.90395	1.45966	3.5	-1.2	0.130058	0.303485	0.653846	0.780769
17.405	0.831284	1.55642	3.5	-1.2	0.130058	0.303485	0.653846	0.780769
18.461	0.829722	1.55544	3.5	-1.2	0.130058	0.303485	0.653846	0.780769
20.246	0.827848	1.5562	5	1.1	0.27575	0.139822	0.956522	1.36981
21.408	0.875162	1.61846	5	1.1	0.27575	0.139822	0.956522	1.36981
22.521	1.21233	1.62688	5	1.1	0.27575	0.139822	0.956522	1.36981
24.047	1.4802	1.28488	5	1.1	0.269027	0.186845	0.956522	1.28657
25.142	1.65046	0.975683	5	1.1	0.269027	0.186845	0.956522	1.28657
26.62	1.84504	0.61008	5	1.1	0.269027	0.186845	0.956522	1.28657
28.084	1.8531	0.608506	5	1.1	0.0796878	0.219693	0.956522	1.41307
29.078	1.85019	0.608287	5	1.1	0.0796878	0.219693	0.956522	1.41307
30.654	1.85153	0.606944	5	1.1	0.0796878	0.219693	0.956522	1.41307
32.063	1.93904	0.488695	5.3	1.2	0.0912835	0.237347	0.782609	1.10243
33.284	2.26695	0.278635	5.3	1.2	0.0912835	0.237347	0.782609	1.10243
35.031	2.64042	0.181692	5.3	1.2	0.0912835	0.237347	0.782609	1.10243
36.251	3.11471	0.123388	6.1	1.3	0.0827607	0.199661	0.478261	0.682781
37.756	3.49433	0.106631	6.1	1.3	0.0827607	0.199661	0.478261	0.682781
39.043	3.92046	0.113488	6.1	1.3	0.0827607	0.199661	0.478261	0.682781
40.309	4.30523	0.144238	6.1	1.6	0.0700115	0.131225	0.434783	0.685445
41.571	4.65414	0.175371	6.1	1.6	0.0700115	0.131225	0.434783	0.685445
43.022	5.0646	0.220866	6.1	1.6	0.0700115	0.131225	0.434783	0.685445
44.376	5.48474	0.367135	6.2	2.3	0.10809	0	0.5	0.89191
45.784	5.74451	0.609233	6.2	2.3	0.10809	0	0.5	0.89191
47.385	5.9177	0.987621	6.2	2.3	0.10809	0	0.5	0.89191
48.709	6.04277	1.4662	5.8	-6.7	0.184874	0.492131	1	0.830864
50.012	6.0329	1.57233	5.8	-6.7	0.184874	0.492131	1	0.830864
51.139	5.99282	1.58468	5.8	-6.7	0.184874	0.492131	1	0.830864
52.199	5.90196	1.50133	5.8	-6.7	0.196639	0.378091	1	1.04718
53.306	5.84525	1.22709	5.8	-6.7	0.196639	0.378091	1	1.04718
54.762	5.82559	0.856576	5.8	-6.7	0.196639	0.378091	1	1.04718
55.92	5.80957	0.478385	5	9.5	0.330227	0	0.787879	1.24553
57.399	5.81828	0.325052	5	9.5	0.330227	0	0.787879	1.24553
58.577	5.86383	0.31275	5	9.5	0.330227	0	0.787879	1.24553
60.212	6.02228	0.439948	5	9.6	0.342688	0	0.776119	1.20955
61.471	6.04214	0.906832	5	9.6	0.342688	0	0.776119	1.20955
62.772	6.01045	1.29678	5	9.6	0.342688	0	0.776119	1.20955
63.999	5.99826	1.60672	5	9.5	0.278823	0	0.981132	1.68344
65.473	5.98928	2.05218	5	9.5	0.278823	0	0.981132	1.68344
66.682	5.98696	2.40288	5	9.5	0.278823	0	0.981132	1.68344
68.253	5.98573	2.87183	5	9.5	0.246194	0.0492107	0.981132	1.61951
69.493	5.98765	3.27364	5	9.5	0.246194	0.0492107	0.981132	1.61951
