Time	rbt x	rbt y	x	y	cost	discount	ig	utility
3.562	0.00121867	-2.44883e-09	0	0	0	0	0	0
4.761	0.0293862	-0.00896144	0	-6.6	0.63327	0.0494094	1	1.26791
6.473	0.0662248	-0.0922698	0	-6.6	0.63327	0.0494094	1	1.26791
7.946	-0.162062	-0.283755	0	-6.6	0.63327	0.0494094	1	1.26791
9.204	-0.436689	-0.518738	-0.999998	1	0.0464821	0.646912	0.283186	0.153497
10.568	-0.606676	-0.548149	-0.999998	1	0.0464821	0.646912	0.283186	0.153497
11.997	-0.829007	-0.288678	-0.999998	1	0.0464821	0.646912	0.283186	0.153497
13.091	-0.886292	0.0272096	-5.9	-1.3	0.209866	0.137398	0.509434	0.669012
14.998	-1.09959	0.190898	-5.9	-1.3	0.209866	0.137398	0.509434	0.669012
16.115	-1.52659	0.171039	-5.9	-1.3	0.209866	0.137398	0.509434	0.669012
17.377	-1.85019	0.116777	-6.3	1.6	0.35138	0.194468	0.791667	0.924046
18.579	-2.27974	0.0887192	-6.3	1.6	0.35138	0.194468	0.791667	0.924046
19.76	-2.64123	0.064581	-6.3	1.6	0.35138	0.194468	0.791667	0.924046
21.307	-3.05026	0.0344212	-6.3	1.6	0.24504	0.325923	0.826087	0.868651
22.631	-3.47612	0.0280987	-6.3	1.6	0.24504	0.325923	0.826087	0.868651
23.984	-3.86862	0.0362701	-6.3	1.6	0.24504	0.325923	0.826087	0.868651
25.278	-4.29363	0.0772549	-1.2	9.6	0.94415	0.156717	1	0.742415
26.54	-4.63816	0.127611	-1.2	9.6	0.94415	0.156717	1	0.742415
28.071	-5.05834	0.19443	-1.2	9.6	0.94415	0.156717	1	0.742415
29.469	-5.45429	0.367564	-1.2	9.6	1	0.0504135	1	0.899173
30.683	-5.71267	0.572339	-1.2	9.6	1	0.0504135	1	0.899173
32.167	-5.91722	0.974026	-1.2	9.6	1	0.0504135	1	0.899173
33.348	-5.97381	1.20506	-6.2	-6.8	0.15851	0.522993	1	0.795504
34.811	-5.98838	1.24715	-6.2	-6.8	0.15851	0.522993	1	0.795504
35.901	-6.03304	1.22292	-6.2	-6.8	0.15851	0.522993	1	0.795504
37.611	-6.19054	0.898671	-6.2	-6.8	0.162856	0.409614	1	1.01792
38.814	-6.22204	0.458955	-6.2	-6.8	0.162856	0.409614	1	1.01792
40.115	-6.24138	0.127417	-6.2	-6.8	0.162856	0.409614	1	1.01792
41.431	-6.28954	-0.266627	-1.2	9.6	0.972215	0	1	1.02778
42.76	-6.29397	-0.368675	-1.2	9.6	0.972215	0	1	1.02778
44.08	-6.34546	-0.415191	-1.2	9.6	0.972215	0	1	1.02778
45.435	-6.50251	-0.0902633	-1.2	9.6	0.983642	0	1	1.01636
47.124	-6.48365	0.315588	-1.2	9.6	0.983642	0	1	1.01636
48.393	-6.43977	0.87524	-1.2	9.6	0.983642	0	1	1.01636
49.694	-6.42818	1.2543	-5.1	9.7	0.176878	0	0.943396	1.70991
50.773	-6.44134	1.63225	-5.1	9.7	0.176878	0	0.943396	1.70991
51.816	-6.46047	1.94749	-5.1	9.7	0.176878	0	0.943396	1.70991
53.393	-6.48053	2.36463	-5.1	9.7	0.160072	0	0.943396	1.72672
54.649	-6.47722	2.67588	-5.1	9.7	0.160072	0	0.943396	1.72672
55.918	-6.47323	2.76755	-5.1	9.7	0.160072	0	0.943396	1.72672
57.303	-6.47206	2.80216	-5	11.1	0.179375	0	0.358491	0.537606
58.589	-6.48151	3.11005	-5	11.1	0.179375	0	0.358491	0.537606
60.265	-6.48712	3.51751	-5	11.1	0.179375	0	0.358491	0.537606
61.447	-6.48458	3.95176	-5	11.1	0.151668	0	0.377358	0.603049
62.714	-6.47977	4.27822	-5	11.1	0.151668	0	0.377358	0.603049
64.101	-6.44833	4.75613	-5	11.1	0.151668	0	0.377358	0.603049
65.13	-6.44419	5.13541	-3.8	5.9	0.148834	0.0453795	0.490566	0.787775
66.828	-6.27258	5.46237	-3.8	5.9	0.148834	0.0453795	0.490566	0.787775
67.983	-5.9681	5.62378	-3.8	5.9	0.148834	0.0453795	0.490566	0.787775
69.153	-5.60266	5.79196	-2.3	4.7	0.255989	0.258525	1	1.22696
70.507	-5.22229	5.86561	-2.3	4.7	0.255989	0.258525	1	1.22696
71.95	-4.7955	5.91255	-2.3	4.7	0.255989	0.258525	1	1.22696
73.51	-4.3562	5.93463	-1.8	4.4	0.266094	0.340363	0.786885	0.772024
74.728	-3.95979	5.94843	-1.8	4.4	0.266094	0.340363	0.786885	0.772024
75.983	-3.58369	5.9546	-1.8	4.4	0.266094	0.340363	0.786885	0.772024
77.32	-3.21431	5.95784	-1.2	9.6	0.401293	0.483754	0.868852	0.495789
78.83	-2.77446	5.94991	-1.2	9.6	0.401293	0.483754	0.868852	0.495789
80.046	-2.41542	5.94013	-1.2	9.6	0.401293	0.483754	0.868852	0.495789
81.568	-1.96369	5.94401	-1.2	9.6	0.326359	0.13192	0.868852	1.18211
82.78	-1.59425	5.98163	-1.2	9.6	0.326359	0.13192	0.868852	1.18211
84.002	-1.22215	6.03845	-1.2	9.6	0.326359	0.13192	0.868852	1.18211
85.271	-0.828674	6.15988	-1.2	9.6	0.258943	0.479157	0.868852	0.646129
86.74	-0.757266	6.19588	-1.2	9.6	0.258943	0.479157	0.868852	0.646129
87.903	-0.757266	6.19851	-1.2	9.6	0.258943	0.479157	0.868852	0.646129
89.434	-0.758829	6.20007	-4.2	5.1	0.170444	0.363821	1	1.10191
90.677	-0.757266	6.19851	-4.2	5.1	0.170444	0.363821	1	1.10191
92.35	-0.757266	6.20007	-4.2	5.1	0.170444	0.363821	1	1.10191
93.434	-0.758063	6.19615	-4.2	5.1	0.15851	0.365168	1	1.11115
94.916	-0.757266	6.19694	-4.2	5.1	0.15851	0.365168	1	1.11115
95.914	-0.757266	6.19538	-4.2	5.1	0.15851	0.365168	1	1.11115
97.611	-0.7398	6.20359	-1.2	10.2	0.212123	0.593868	1	0.600142
98.582	-0.458515	6.46622	-1.2	10.2	0.212123	0.593868	1	0.600142
